OBJECTID,SOURCE_ID,COUNTRY,NAME,LEAST_DEPTH,MAX_DEPTH,DEPTH_INFO,DEPTH_PREC,OBJECT_LENGTH,LOC_PREC,SITE_AREA,SINK_CONTEXT,SINK_YR,DATING,PERIOD,STATUTORY_PROT,OBJ_DESC,SHIP_CHAR,OBJ_TYPE,EST_TONNAGE,PLACE_ORIG,PLACE_DEST,ARTEFACTS,COAST_DIST,SOURCE_INFO,REFERENCE,WEBSITE1,WEBSITE2
"3760",FR 0000005174 00001,France,n.a.,67.8,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"2nd determination: 1990, no magnetic deviation",n.a.,n.a.,,n.a.,n.a.,n.a.,2708.79976112,SHOM,n.a.,n.a.,n.a.
"3761",FR 0000005170 00001,France,n.a.,58.1,,n.a.,Least depth known,15,10,,n.a.,,n.a.,n.a.,n.a.,"3rd determination: 1990, wreck oriented at 270, no magnetic deviation",Small building,"Raft, barge",,n.a.,n.a.,n.a.,1880.98815909,SHOM,n.a.,n.a.,n.a.
"3762",FR 0000005171 00001,France,n.a.,56.8,,n.a.,Least depth known,30,10,,n.a.,,n.a.,n.a.,n.a.,"3rd determination: 1990, wreck oriented at 090, no magnetic deviation",Coaster,Coaster,,n.a.,n.a.,n.a.,1764.92390573,SHOM,n.a.,n.a.,n.a.
"3763",FR 0000005176 00001,France,n.a.,59.1,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"April 2003: mr. BEAUMONT: 'very dilapidated wooden barge, 30-40 m long'. 3rd determination: 1990, no magnetic deviation",Barge,Barge,,n.a.,n.a.,n.a.,1831.38609107,SHOM,n.a.,n.a.,n.a.
"3764",FR 0000005212 00001,France,n.a.,49.9,,n.a.,Least depth known,15,10,,n.a.,,n.a.,n.a.,n.a.,"1st determination: 1987, 'Pointed' length = 15 m, width = 3 m; 2nd determination: 1990, magnetic deviation",Pointed Craft (small),Dinghy (light craft),,n.a.,n.a.,n.a.,1136.23229742,SHOM,n.a.,n.a.,n.a.
"3765",FR 0000094686 00001,France,n.a.,95,,n.a.,Least depth known,10,10,,n.a.,,n.a.,n.a.,n.a.,"2nd det. : 2005, wreck on the side in bad condition, orientation 090/270. 1st det. : 1996, wreck slightly lying on the port side, mooring line in the bow, orientation: 110/290",Boat,Dinghy (light craft),,n.a.,n.a.,n.a.,11028.2091065,SHOM,n.a.,n.a.,n.a.
"3766",FR 0000125284 00001,France,HYDRA V,95.8,,n.a.,Least depth known,16,3,,Sank on 06/26/1993,"1993",n.a.,n.a.,n.a.,"16/11/2006: Wreck 16 meters long, 6 meters wide and oriented 140 ° / 320 °. 03/24/1994: Recent wreck laid flat, 12 meters long, 4.5 meters wide and oriented 030 ° / 210 °. the highest point is the radar mast",Cruiser type tourist boat,"Pleasure boat, day fishing",,n.a.,n.a.,n.a.,10488.5695678,SHOM,n.a.,n.a.,n.a.
"3767",FR 0000124493 00003,France,n.a.,16.6,,n.a.,Least depth known,,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,220.777961884,SHOM,n.a.,n.a.,n.a.
"3768",FR 0000111985 00001,France,n.a.,63,,n.a.,Least depth known,10.9,3.7,,n.a.,,n.a.,n.a.,n.a.,"05/26/1998: sailboat lying on port side, width = 2 m, facing East / West, length = 6 m, height above the bottom = 3 m (top of mast)",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,1773.92182408,SHOM,n.a.,n.a.,n.a.
"3769",FR 0000005198 00001,France,n.a.,48.3,,n.a.,Least depth known,60,10.2,,n.a.,,n.a.,n.a.,n.a.,"2002: 'Rectangular barge; one end clearly visible with a large sheet on the mud, probably the hatch opening or closing the barge ... the wood has disappeared, the very corroded iron frame remains. The hull is sinking in the mud after 30 m. 10 m from the end, a large oven in double thickness refractory bricks, on a metal frame...' Mr. François BEAUMONT. 1990: no magnetic deviation. 1987: wreck oriented 030/210, length = 60 m, width = 10 m",Barge,"Raft, barge",,n.a.,n.a.,n.a.,1499.7703613,SHOM,n.a.,n.a.,n.a.
"3770",FR 0000125270 00001,France,n.a.,23,,n.a.,Least depth known,15,201.3,,n.a.,,n.a.,n.a.,n.a.,"05/06/1996: steel hull sailboat laid flat on the bottom, good general condition, mast inside. 22/03/1994: ketch-type sailboat hull, oriented at 210/030, no deck, two masts lying in the axis, entanglement of shrouds, few concretions, lying on the left, fairly recent. 22/06/1993: pointy type boat oriented north/south, laid flat on the bottom","Ketch steel sailboat, two masts",Sailing ship,,n.a.,n.a.,n.a.,2050.53448075,SHOM,n.a.,n.a.,n.a.
"3771",FR 0000116095 00001,France,VACCARES,,,n.a.,Unknown depth,,101.3,,Beached on 05/14/1999 by the autonomous port of Marseille on the wreck area of La Gracieuse point in order to stabilize this point,"1999",n.a.,n.a.,n.a.,n.a.,Self-propelled vessel,n.a.,,n.a.,n.a.,n.a.,14.2916269009,SHOM,n.a.,n.a.,n.a.
"3772",FR 0000004948 00001,France,ETYLENE,-1,,n.a.,Least depth known,,10,,Sank in 1944,"1944",n.a.,n.a.,n.a.,n.a.,Oil tanker requisitioned by the Germans in 1942. front part,"Tanker, tanker, oil tanker, cargo ship",,n.a.,n.a.,n.a.,1478.97077917,SHOM,n.a.,n.a.,n.a.
"3773",FR 0000004994 00001,France,n.a.,,,n.a.,Unknown depth,,10,,"Were set up by the autonomous port of Marseille in order to enlarge the THEY de la Gracieuse by blocking the sand, sunk between 1962 and 1976",,n.a.,n.a.,n.a.,4 wrecks oriented east / west,Wreck train,Multiple,,n.a.,n.a.,n.a.,42.9151515573,SHOM,n.a.,n.a.,n.a.
"3774",FR 0000005002 00001,France,n.a.,,,n.a.,Unknown depth,,100,,Crash which occurred on 04/22/1944 during a water landing while rescuing men from the 'Chasseral' which had just suffered an attack from Beaufighters,"1944",n.a.,n.a.,n.a.,n.a.,DORNIER 24 seaplane,Aircraft,,n.a.,n.a.,n.a.,13676.985329,SHOM,n.a.,n.a.,n.a.
"3775",FR 0000004914 00001,France,n.a.,,,n.a.,Unknown depth,15,100,,n.a.,,n.a.,n.a.,n.a.,"Sailboat lying on port side (broken mast), oriented east / west, length = 15 m, width = 5 m, 1st determination: 1990, age estimated at 1 to 2 years",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,12483.6255383,SHOM,n.a.,n.a.,n.a.
"3776",FR 0000004996 00001,France,n.a.,,,n.a.,Unknown depth,,10,,Were set up by the autonomous port of Marseille from 07/11/1985 to 09/11/1985,"1985",n.a.,n.a.,n.a.,E / W orientation,Wreck train,Multiple,,n.a.,n.a.,n.a.,81.6080458153,SHOM,n.a.,n.a.,n.a.
"3777",FR 0000004997 00001,France,n.a.,,,n.a.,Unknown depth,,10,,n.a.,,n.a.,n.a.,n.a.,orientation 347,n.a.,n.a.,,n.a.,n.a.,n.a.,127.138220625,SHOM,n.a.,n.a.,n.a.
"3778",FR 0000005007 00001,France,n.a.,,,n.a.,Unknown depth,,100,,Stranded in October 1991,"1991",n.a.,n.a.,n.a.,"1st determination: 1992, wreck beached",n.a.,n.a.,,n.a.,n.a.,n.a.,68.6894592077,SHOM,n.a.,n.a.,n.a.
"3779",FR 0000000653 00003,France,n.a.,0,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"2nd det: 2012, only the masts permanently discover",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,193.768585529,SHOM,n.a.,n.a.,n.a.
"3780",FR 0000127558 00001,France,LIGHTNING P38,34.5,,n.a.,Least depth known,12,21.2,,"Hit by a German battery above La Ciotat on January 27, 1944, the P38 will attempt to land; the pilot, Harry R. Greenup, drowns","1944",n.a.,n.a.,n.a.,"2001: 'The plane is intact, wings, engines, cabin and fuselages, nothing is missing, posed upside down.' according to Mr Beaumont","American twin-engine fighter jet with double-beam fuselage, built in 9,923 units",Aircraft,,n.a.,n.a.,n.a.,1270.88924055,SHOM,n.a.,n.a.,n.a.
"3781",FR 0000004884 00001,France,PLANIER,12.8,,n.a.,Least depth known,,5.3,,"Sank on March 3, 1905 following a collision with the MARSA; the bow is damaged; a waterway is declared; the ship sinks","1905",n.a.,n.a.,n.a.,"The wreck is in two pieces; central part of the wreckage destroyed by the explosion of the boiler; oriented to the SW; height above the bottom = 3 m",Coaster built in 1890 in Ireland,Coaster,,n.a.,n.a.,n.a.,1438.03518757,SHOM,n.a.,n.a.,n.a.
"3782",FR 0000004964 00001,France,n.a.,6.1,,n.a.,Least depth known,,3.3,,n.a.,,n.a.,n.a.,n.a.,Barge or barge,n.a.,n.a.,,n.a.,n.a.,n.a.,2405.69259684,SHOM,n.a.,n.a.,n.a.
"3783",FR 0000152183 00001,France,n.a.,33,,n.a.,"Least depth unknown, but estimated to be greater than indicated",4,10,,n.a.,,n.a.,n.a.,n.a.,"04/11/2007: Wreck in good condition lying on the right side, 4 meters long, 2 meters wide, protruding from the bottom of 2 meters and oriented 285 ° / 105 °",Type 420 sailing dinghy,Dinghy (light craft),,n.a.,n.a.,n.a.,1016.22121163,SHOM,n.a.,n.a.,n.a.
"3784",FR 0000005114 00001,France,SAN DOMENICO,25.5,,n.a.,Least depth known,80,1,,"on 06/16/1897, relieved of too much of its ballast, it was struck by a blast of the mistral during its towing towards the fairing basin, and sank steeply. The refloating being unprofitable, the sailboat is abandoned and the masts leveled","1897",n.a.,n.a.,n.a.,"1st determination: 1973, wreck laid straight on the bottom, oriented at 225°, fishing nets forward and aft, no appendages longer than 1 m, presence of a few barrels on port forward and amidships; 2nd determination:, 1978, sailboat lying on its side, mast broken; 1985: reported by Mr Joncheray (underwater archaeology), he gives the name and nationality; 1987: described by the magazine Océans '...this 80 m long hull rested straight on the bottom, It is in excellent condition although the wooden deck has disappeared....'; 1987: detected by CM Cantho on 01-28-87; 1991: detected and confirmed by CM Persée on 22-10-1990",Sailboat left the Italian Poli shipyards in 1893,Sailing ship,,n.a.,n.a.,n.a.,993.515806259,SHOM,n.a.,n.a.,n.a.
"3785",FR 0000004917 00001,France,TOUSSAIN,76,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,1855.5,,Sank on 02/11/1994 following a fire,"1994",n.a.,n.a.,n.a.,n.a.,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,32205.9090835,SHOM,n.a.,n.a.,n.a.
"3786",FR 0000004973 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,16467.3393913,SHOM,n.a.,n.a.,n.a.
"3787",FR 0000123648 00003,France,n.a.,9.7,,n.a.,Least depth known,35,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,1378.08124806,SHOM,n.a.,n.a.,n.a.
"3788",FR 0000005146 00001,France,n.a.,27.6,,n.a.,Least depth known,37,1,,n.a.,,n.a.,n.a.,n.a.,"19/09/2005: Wreck 37 meters long, 9 meters wide and protruding from the bottom of 4.6 meters. 01/01/1978: wreck oriented to 015/195, length = 22 m, width = 2.5 m, height above the bottom = 4 m",Barge,Barge,,n.a.,n.a.,n.a.,384.495350917,SHOM,n.a.,n.a.,n.a.
"3789",FR 0000125285 00001,France,n.a.,27,,n.a.,Least depth known,9.5,201.3,,n.a.,,n.a.,n.a.,n.a.,"02/24/1994: piece of airplane with start of the wings, oriented 130/310, placed flat on the bottom, concreted, contains about fifteen bottles 0.75m high, the cabin is the highest point, many nets ; very old appearance",Plane,Aircraft,,n.a.,n.a.,n.a.,870.206375834,SHOM,n.a.,n.a.,n.a.
"3790",FR 0000004909 00001,France,n.a.,48,,n.a.,Least depth known,30,12.5,,n.a.,,n.a.,n.a.,n.a.,30m long approximately,n.a.,n.a.,,n.a.,n.a.,n.a.,12853.1476647,SHOM,n.a.,n.a.,n.a.
"3791",FR 0000004907 00001,France,MONT SAINT-CLAIR,,,n.a.,Unknown depth,,1855.5,,"Sank in 1985, watched by the Abeille Normandie (civilian ocean going tug)","1985",n.a.,n.a.,n.a.,n.a.,Barge,"Raft, barge",,n.a.,n.a.,n.a.,27674.6703299,SHOM,n.a.,n.a.,n.a.
"3792",FR 0000004903 00001,France,n.a.,,,n.a.,Unknown depth,,1855.5,,n.a.,,n.a.,n.a.,n.a.,n.a.,Mirage F1,Aircraft,,n.a.,n.a.,n.a.,19185.3183145,SHOM,n.a.,n.a.,n.a.
"3793",FR 0000005187 00001,France,MIDDLEBURY VICTORY,,,n.a.,Unknown depth,,100,,Wrecked on 02/02/1947 on Planier Island,"1947",n.a.,n.a.,n.a.,n.a.,liberty ship,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,198.41387019,SHOM,n.a.,n.a.,n.a.
"3794",FR 0000004988 00001,France,n.a.,4,,n.a.,Least depth known,25,100,,n.a.,,n.a.,n.a.,n.a.,Barge of a length = 25 meters by 4 meters wide,Barge,Barge,,n.a.,n.a.,n.a.,1313.98732316,SHOM,n.a.,n.a.,n.a.
"3795",FR 0000004984 00001,France,n.a.,6,,n.a.,Least depth known,60,100,,n.a.,,n.a.,n.a.,n.a.,"Cargo length = 60 meters by 4 wide, the front is oriented to the over / south-east",Cargo (large),"Cargo, commercial vessel",,n.a.,n.a.,n.a.,1737.6283797,SHOM,n.a.,n.a.,n.a.
"3796",FR 0000005113 00001,France,n.a.,49.6,,n.a.,Least depth known,70,6,,n.a.,,n.a.,n.a.,n.a.,"09/19/2005: Wreck 70 meters long, 12 meters wide and protruding from the bottom of 3 meters. 01/01/1978: height above the bottom = 3.5 m; Orientation: 020/200, Broken hull, very silted up",Barge,Barge,,n.a.,n.a.,n.a.,1180.05696423,SHOM,n.a.,n.a.,n.a.
"3797",FR 0000005196 00001,France,n.a.,54.6,,n.a.,Least depth known,,10.2,,n.a.,,n.a.,n.a.,n.a.,"2nd determination: 1990, no magnetic deviation. 1st determination: 1987, oriented NW / SE",n.a.,n.a.,,n.a.,n.a.,n.a.,2283.48095664,SHOM,n.a.,n.a.,n.a.
"3798",FR 0000005172 00001,France,n.a.,53.8,,n.a.,Least depth known,25,10.2,,n.a.,,n.a.,n.a.,n.a.,"2002: description by Mr. Beaumont: '... it's a superb wreck of a motor sailboat, lying straight on the mud. The well-shaped bow supports a 3m long iron bowsprit mast; on the deck in good condition, the superstructures are well preserved, the stern is characteristic, the stern post bent a blade of the propeller, no doubt at the time of the sinking. large corrugated pipes are present .... The hull, with its metal frames, has not collapsed, and has kept its shape, the wooden planking has disappeared. 1990: length 25m, width 6m. 1990: 3rd determination : sonar investigation; wreck = sailboat in good condition oriented at 350/170 1987: sonar investigation 1985: sonar investigation: trawler",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,1950.32456668,SHOM,n.a.,n.a.,n.a.
"3799",FR 0000005173 00001,France,n.a.,62.4,,n.a.,Least depth known,35,5.2,,n.a.,,n.a.,n.a.,n.a.,"2003: Mr. BEAUMONT: 'large barge, the hull bottom is made up of parallel metal beams, and a large bottom tank -66m'. 3rd determination: 1990, wreck oriented to 235, no magnetic deviation",Barge,Barge,,n.a.,n.a.,n.a.,2094.03556449,SHOM,n.a.,n.a.,n.a.
"3800",FR 0000005396 00001,France,JUNKER 88,45,,n.a.,Least depth known,,21.3,,Probably shot down by a 20 shell,,n.a.,n.a.,n.a.,"2005: Revue Océans special collector's edition n° 3 Wrecks. 2 well-preserved hull: broken tail folded over the right wing, pilot and co-pilot seats present, glazed nose gone, wings in good condition, left engine in place. The trawl on the wreck was completely removed by INPP trainees. 2001: Mr François Beaumont: 'the nets have been deposited in large part and rest on the bottom; only one end above the pilot's cabin goes up to 45m.' 1st determination: 1993: the plane is whole, covered with nets, height above the bottom = 4 m; the tail is folded over the wing",Light twin-engine bomber built in 800 units,Aircraft,,n.a.,n.a.,n.a.,444.805965653,SHOM,n.a.,n.a.,n.a.
"3801",FR 0000005184 00001,France,LAGOUBRAN,36,,n.a.,Least depth known,28,10.3,,"On 03/06/1919, at the beginning of the afternoon, while he was carrying out mine net lifting operations in the harbor of Marseille, a mine exploded, completely destroying the bow, killing 8 victims. Sank less than 5 minutes after the explosion","1919",n.a.,n.a.,n.a.,"20/04/2000: Wreck covered with nets and trawl cables only going up to -36 m. ; sunken but identifiable wreckage; frequent currents; poor visibility; dangerous dive. xx/xx/1995: Nets above the wreck whose ends go up to -29 m. xx/xx/1988: Huge nets surrounding the wreck and going up to 8 m. above it; casings protecting the paddle wheels in place; many cables and ropes. xx/xx/1985: Sits upright on its keel; good condition ; trawl covering the starboard side, held by floats; jagged bow; vertical stern in good condition; paddle wheels in the middle of the wreckage; cabin above the boiler; torn chimney resting on the bottom","Paddle-wheeled steam tug, built in Nantes in 1886, commissioned in 1888, single-chimney steam tug of the French Navy, propelled by a 220 hp engine driving 4.2 m paddle wheels. in diameter with 10 blades (1.3",Pusher or tug,,n.a.,n.a.,n.a.,3821.4417078,SHOM,n.a.,n.a.,n.a.
"3802",FR 0000143776 00001,France,n.a.,51,,n.a.,"Least depth unknown, but estimated to be greater than indicated",10,5,,n.a.,,n.a.,n.a.,n.a.,"The remains appear to be the rear third of a German Junkers 88 (twin-engine bomber) aircraft from World War II, posed upside down, width: 10 meters",Plane,Aircraft,,n.a.,n.a.,n.a.,523.10737179,SHOM,n.a.,n.a.,n.a.
"3803",FR 0000005410 00001,France,GUADAIRA,65.3,,n.a.,Least depth known,40,3.4,,"The Guadaira sank on 06/16/1872, off Carry-le-Rouet, following the explosion of the boilers, causing the disappearance of 34 passengers and crew","1872",n.a.,n.a.,n.a.,"2003: description by Mr. François BEAUMONT: the bottom is at -73m and the wreck goes up to -68m; ropes float between two waters and go up to about -40m. Only the bow is in good condition, covered with nets; the bridge has disappeared and the stern is spread out and silted up; the boilers are clearly visible. 1991: wreck oriented at 040, length = 40 m, width = 8 m",Steamer,Steamboat,,n.a.,n.a.,n.a.,3760.13132672,SHOM,n.a.,n.a.,n.a.
"3804",FR 0000005150 00001,France,n.a.,55,,n.a.,Least depth known,8,3.3,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,2222.8298261,SHOM,n.a.,n.a.,n.a.
"3805",FR 0000154363 00001,France,BARACOUDA II,29,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,200,,"Sank on 09/22/2007 between 04:30 B and 05:00 B, the crew was recovered unharmed","2007",n.a.,n.a.,n.a.,n.a.,"Professional fishing vessel specializing in small-scale fishing, registered MA670488, built in 1985 and belonging to the owner Mr. Fernandez Patrick","Fishing boat, trawler",,n.a.,n.a.,n.a.,569.520347225,SHOM,n.a.,n.a.,n.a.
"3806",FR 0000005189 00001,France,JUNKER JU 88,13,,n.a.,Least depth known,,101.3,,n.a.,,n.a.,n.a.,n.a.,"The wreck lies flat, the wings are well preserved but partially damaged, the rear of the cabin has disappeared",Bomber type JUNGER 88,Aircraft,,n.a.,n.a.,n.a.,91.8964633289,SHOM,n.a.,n.a.,n.a.
"3807",FR 0000005211 00001,France,n.a.,60.7,,n.a.,Least depth known,8.6,3.7,,n.a.,,n.a.,n.a.,n.a.,wreck oriented NE / SW,n.a.,n.a.,,n.a.,n.a.,n.a.,1169.18336474,SHOM,n.a.,n.a.,n.a.
"3808",FR 0000005412 00001,France,n.a.,31.1,,n.a.,Least depth known,16,6,,n.a.,,n.a.,n.a.,n.a.,"23/09/2005: Wreck 16 meters long, 5 meters wide and protruding from the bottom by 2.5 meters. 2001: the wreck is lying to starboard; presence of an old steam engine; ring on the bow reminiscent of the step of a bowsprit mast (info Mr Beaumont). 1st determination: 1991, trawler oriented 000/180, lying to starboard, length = 15m, width = 5m",Old iron trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,1054.64451809,SHOM,n.a.,n.a.,n.a.
"3809",FR 0000005194 00001,France,n.a.,56.8,,n.a.,Least depth known,30,10,,n.a.,,n.a.,n.a.,n.a.,"2nd determination: 1990, slight magnetic deviation",Sailing ship,Sailing ship,,n.a.,n.a.,n.a.,1515.54270389,SHOM,n.a.,n.a.,n.a.
"3810",FR 0000005188 00001,France,n.a.,,,n.a.,Unknown depth,,500,,n.a.,,n.a.,n.a.,n.a.,n.a.,Steamer,Steamboat,,n.a.,n.a.,n.a.,363.04158747,SHOM,n.a.,n.a.,n.a.
"3811",FR 0000005149 00001,France,n.a.,49.8,,n.a.,Least depth known,16,6,,n.a.,,n.a.,n.a.,n.a.,"09/19/2005: Wreck 16 meters long, 7 meters wide and protruding from the bottom by 1.5 meters. 2002: description by Mr. François Beaumont: '... vast wooden hull of which only the hull remains; no trace of the engine, a large metal plate has tipped to the side (remains of the deck?); concretions metal, pins and nails.' 1978: height above the bottom = 2.4 m, NW/SE orientation",Barge,Barge,,n.a.,n.a.,n.a.,1125.5581075,SHOM,n.a.,n.a.,n.a.
"3812",FR 0000005161 00001,France,n.a.,50.7,,n.a.,Least depth known,25,10.2,,n.a.,,n.a.,n.a.,n.a.,"2002: '... Wooden boat; wood well preserved but separated from the carcass in metal part; the planking is either on the mud, or pell-mell on the deck. The stern has a rudder in place thanks to a strong metal frame. The stern is on the vase. The large flywheel of the tiller is clearly visible. The propeller has disappeared, but also the shaft certainly removed from the interior, like the engine which is missing. On the bridge, a bric-a-brac of metal structures, and fire hoses, some of which are well coiled on their reels. the deck; the bow is upright but bare; the planking being in the mud...' Mr. François BEAUMONT. 1990: wreckage oriented at 340, slight magnetic deviation",Charbonnière briquette,Coal cargo ship,,n.a.,n.a.,n.a.,1917.82515985,SHOM,n.a.,n.a.,n.a.
"3813",FR 0000005112 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,6786.87699804,SHOM,n.a.,n.a.,n.a.
"3814",FR 0000005135 00001,France,n.a.,,,n.a.,Unknown depth,,1852,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,11184.155484,SHOM,n.a.,n.a.,n.a.
"3815",FR 0000004919 00001,France,EMBLA (dit LE SUEDOIS),23.6,,n.a.,Least depth known,,5.2,,Was bombed and sunk on 04/19/1944 by twelve British planes,"1944",n.a.,n.a.,n.a.,"Review 'oceans' May-June 2001: almost entire wreck, the bow carries two large anchors, a large mast is placed forward, the funnel is broken, many davits. MOM: wreck lying straight on the bottom, heading east; the superstructures are destroyed, height above the bottom = 9 m (divers)","Swedish cargo ship built in 1908, in the service of the Red Cross in 1941","Cargo, commercial vessel",,n.a.,n.a.,n.a.,6595.40219726,SHOM,n.a.,n.a.,n.a.
"3816",FR 0000164451 00001,France,SAM BOAT,6,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,500,,Sank on 12/04/2009 following a water leak,"2009",n.a.,n.a.,n.a.,n.a.,24 meter long wooden trawler registered in Grau-du-Roi,"Fishing boat, trawler",,n.a.,n.a.,n.a.,12461.590504,SHOM,n.a.,n.a.,n.a.
"3817",FR 0000129247 00001,France,n.a.,,,n.a.,Unknown depth,6,301.2,,This speedboat sank on 08/10/2002 following a fire on board,"2002",n.a.,n.a.,n.a.,n.a.,Pleasure cruiser,"Pleasure boat, day fishing",,n.a.,n.a.,n.a.,4272.71248551,SHOM,n.a.,n.a.,n.a.
"3818",FR 0000004918 00001,France,SAINT CHRIST,,,n.a.,Unknown depth,,101.2,,Sank in December 1993,"1993",n.a.,n.a.,n.a.,n.a.,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,1183.35460865,SHOM,n.a.,n.a.,n.a.
"3819",FR 0000004931 00001,France,DERNA,23.4,,n.a.,Least depth known,84.2,6.5,,Was torpedoed on 03/10/1943 by the Taurus,"1943",n.a.,n.a.,n.a.,"27/10/2008: Wreckage broken in two, 84.2 meters long, 15.5 meters wide, heading west, the aft starboard and the bow lying on port side. xx/xx/1983: Wreck broken into two parts, heading west, the stern is straight on the bottom, the bow lying on port side. Height above the bottom of 16 meters (deck mast)","Cargo, launched in 1912 at the Italian shipyards Riuniti, the mixed cargo ship Derna was used as a military transport during the First World War","Cargo, commercial vessel",,n.a.,n.a.,n.a.,6501.30757981,SHOM,n.a.,n.a.,n.a.
"3820",FR 0000004912 00001,France,PROVIDENCE II,16,,n.a.,Least depth known,,100,,"Sank on 12/09/1986 after seizure of the Sète maritime credit, the PROVIDENCE II did not join SETE ","1986",n.a.,n.a.,n.a.,wreck oriented SE / NW,Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,3405.08460614,SHOM,n.a.,n.a.,n.a.
"3821",FR 0000004932 00001,France,VAHINE,21.4,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"Aluminum hull placed straight on the bottom, facing north, Height above the bottom = 1, 9 m",Schooner,Schooner,,n.a.,n.a.,n.a.,5825.61896293,SHOM,n.a.,n.a.,n.a.
"3822",FR 0000005008 00001,France,ANTHONY VINCENT,20,,n.a.,"Least depth unknown, but estimated to be greater than indicated",,101.2,,This decommissioned trawler was sunk by the Sylodie trawler on 11/30/1992,"1992",n.a.,n.a.,n.a.,"1st determination: 1993, no exploration",Trawler,"Fishing boat, trawler",,n.a.,n.a.,n.a.,6401.18838605,SHOM,n.a.,n.a.,n.a.
"3823",FR 0000000277 00003,France,JESSICA LUCIE,,,n.a.,Unknown depth,,50,,n.a.,,n.a.,n.a.,n.a.,n.a.,20m long wooden fishing vessel,"Fishing boat, trawler",,n.a.,n.a.,n.a.,5381.45471735,SHOM,n.a.,n.a.,n.a.
"3824",FR 0000004998 00001,France,ANGELA,,,n.a.,Unknown depth,,100,,Beached on 11/15/1984,"1984",n.a.,n.a.,n.a.,"Stripping ship lying on the sand, A break in the center allowed halfway before collapsing (1989)",Cargo,"Cargo, commercial vessel",,n.a.,n.a.,n.a.,282.505394293,SHOM,n.a.,n.a.,n.a.
"3825",FR 0000169321 00001,France,n.a.,,,n.a.,Unknown depth,,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,240.551545645,SHOM,n.a.,n.a.,n.a.
"3826",FR 0000169328 00001,France,n.a.,1,,n.a.,Unreliable probe,36,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,152.005420692,SHOM,n.a.,n.a.,n.a.
"3827",FR 0000004913 00001,France,n.a.,,,n.a.,Unknown depth,25,201.2,,Sank on 02/06/1990,"1990",n.a.,n.a.,n.a.,n.a.,Steel barge,n.a.,,n.a.,n.a.,n.a.,1985.91326697,SHOM,n.a.,n.a.,n.a.
"3828",FR 0000004921 00001,France,LA GRACIEUSE,0.1,,n.a.,Least depth known,,10,,n.a.,,n.a.,n.a.,n.a.,"wreck destroyed, height above the bottom = 2 m",Steamer,Steamboat,,n.a.,n.a.,n.a.,180.525227331,SHOM,n.a.,n.a.,n.a.
"3829",FR 0000091789 00001,France,SANCTA NELLA,,,n.a.,Unknown depth,,501.2,,Sank on 06/12/1995,"1995",n.a.,n.a.,n.a.,n.a.,"Trawler, Registration: ST 310448","Fishing boat, trawler",,n.a.,n.a.,n.a.,1403.94682397,SHOM,n.a.,n.a.,n.a.
"3830",FR 0000022512 00003,France,n.a.,,,n.a.,Unknown depth,20.2,50,,n.a.,,n.a.,n.a.,n.a.,"1st det: barge-type metal wreck, overturned on a sandy bottom, oriented E / W, deteriorated condition, length 20.2m, 3.2m wide. 7m to the east of the 1.5m by 0.8m wreck",n.a.,n.a.,,n.a.,n.a.,n.a.,486.043805052,SHOM,n.a.,n.a.,n.a.
"3831",FR 0000100186 00001,France,n.a.,,,n.a.,Unknown depth,8,100,,n.a.,,n.a.,n.a.,n.a.,wreck surrounded by trawls,n.a.,n.a.,,n.a.,n.a.,n.a.,1429.21737645,SHOM,n.a.,n.a.,n.a.
